##### Z-Curve Predictions #####
# Format = (NB,DT,SVM,PLS)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
MIX2      	(17.92, 13.96, 19.77, 18.08)	(38.39, 30.88, 55.81, 39.65)	(34.13, 30.10, 48.87, 33.68)	(27.12, 19.39, 28.71, 27.88)	(22.83, 18.35, 27.54, 22.65)	(86.28, 73.38, 87.98, 86.00)	(17.02, 14.94, 18.46, 15.17)	
CTRL      	(13.11, 11.82, 15.85, 10.00)	(18.50, 13.71, 22.27, 10.46)	(20.15, 14.81, 25.66, 10.73)	(18.80, 14.89, 25.70, 10.97)	(15.07, 12.94, 19.08, 10.15)	(18.50, 14.09, 22.74, 10.85)	(88.04, 74.02, 94.85, 67.87)	

# NPV
TRAIN\TEST	COD1                    	COD2                    	NCOD                    	RAND                    	MIX1                    	MIX2                    	CTRL
COD1      	(79.96, 66.03, 78.37, 79.82)	(97.84, 95.29, 97.50, 97.83)	(97.60, 94.87, 97.27, 97.54)	(97.44, 94.54, 97.13, 97.36)	(97.57, 95.78, 97.49, 97.55)	(97.70, 95.13, 97.38, 97.68)	(97.03, 94.03, 96.79, 96.44)	
COD2      	(97.72, 96.07, 97.17, 96.95)	(85.66, 76.12, 81.39, 80.90)	(98.18, 96.72, 97.58, 97.45)	(98.00, 96.52, 97.40, 97.28)	(97.93, 96.35, 97.38, 97.20)	(98.30, 97.18, 97.79, 97.59)	(97.26, 95.80, 96.68, 96.11)	
NCOD      	(97.30, 95.40, 97.37, 97.05)	(98.04, 96.47, 98.07, 97.79)	(83.38, 73.41, 83.50, 81.57)	(97.86, 96.27, 97.90, 97.57)	(97.72, 96.51, 97.93, 97.46)	(98.07, 96.91, 98.20, 97.81)	(97.12, 95.57, 97.08, 96.55)	
RAND      	(97.23, 94.94, 96.88, 97.42)	(97.98, 96.10, 97.52, 98.14)	(97.96, 96.11, 97.53, 98.13)	(81.96, 69.98, 78.81, 83.15)	(97.62, 95.50, 97.24, 97.80)	(97.97, 96.09, 97.54, 98.13)	(97.37, 95.23, 96.83, 97.16)	
MIX1      	(97.31, 96.02, 97.63, 97.46)	(97.82, 95.77, 97.72, 97.93)	(97.73, 96.20, 97.75, 97.82)	(97.57, 95.45, 97.50, 97.66)	(79.72, 67.07, 79.61, 80.57)	(97.78, 95.99, 97.73, 97.87)	(96.95, 94.88, 96.89, 96.58)	
MIX2      	(97.51, 95.48, 97.19, 97.29)	(98.19, 96.92, 97.93, 98.01)	(98.10, 96.85, 97.86, 97.90)	(97.91, 96.20, 97.52, 97.73)	(97.81, 96.21, 97.55, 97.59)	(84.32, 73.36, 81.74, 82.90)	(97.29, 95.52, 96.95, 96.73)	
CTRL      	(96.71, 94.85, 95.81, 97.89)	(97.62, 95.61, 96.49, 98.32)	(97.70, 95.80, 96.61, 98.39)	(97.54, 95.70, 96.55, 98.42)	(97.15, 95.29, 96.20, 97.97)	(97.59, 95.66, 96.49, 98.51)	(84.64, 74.09, 77.21, 93.99)	

